Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Furnished Office with Service Charge Included in Westlands Area,"Westlands Area, Westlands",,,,10/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-office-for-rent-westlands-area-3705495,commercial-property,rent,"KSh 368,000
 / month"
"2,500 ft² Commercial Property with Service Charge Included at Mpaka Road","N/A, Mpaka Road, Westlands Area, Westlands",,,2500 ft²,02/07/2024,"['Backup Generator', 'Fibre Internet', 'Service Charge Included']",/listings/2500-ft2-commercial-property-for-rent-westlands-area-3701402,commercial-property,rent,"KSh 325,000
 / month"
"2,500 ft² Office with Service Charge Included at 4Th Ngong","4th Ngong, Upper Hill",,,2500 ft²,29/07/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/2500-ft2-office-for-rent-upper-hill-3710250,commercial-property,rent,"KSh 320,000
 / month"
"8,287 ft² Warehouse with Service Charge Included in Industrial Area",Industrial Area,,,8287 ft²,29/07/2024,"['Gated Community', 'Parking', 'Service Charge Included']",/listings/8287-ft2-warehouse-for-rent-industrial-area-3710220,commercial-property,rent,"KSh 290,045
 / month"
700 ft² Office with Service Charge Included in Karen,Karen,,,700 ft²,29/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Wheelchair Access']",/listings/700-ft2-office-for-rent-karen-3710142,commercial-property,rent,"KSh 110
 / month"
Commercial Property with Fibre Internet in Lavington,"Lavington Nairobi, Lavington",,,,26/07/2024,"['Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Parking']",/listings/commercial-property-for-rent-lavington-3709929,commercial-property,rent,"KSh 400,000
 / month"
Commercial Property with Fibre Internet in Lavington,Lavington,,,,26/07/2024,"['Alarm', 'CCTV', 'Fibre Internet', 'Garden', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-rent-lavington-3709642,commercial-property,rent,"KSh 300,000
 / month"
Commercial Property with Fibre Internet in Lavington,Lavington,,,,26/07/2024,"['Alarm', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking']",/listings/commercial-property-for-rent-lavington-3709636,commercial-property,rent,"KSh 500,000
 / month"
Commercial Property with Fibre Internet in Lavington,Lavington,,,,26/07/2024,"['Alarm', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-rent-lavington-3709631,commercial-property,rent,"KSh 450,000
 / month"
Commercial Property with Fibre Internet in Lavington,Lavington,,,,26/07/2024,"['Aircon', 'Alarm', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking']",/listings/commercial-property-for-rent-lavington-3709627,commercial-property,rent,"KSh 500,000
 / month"
Commercial Property with Fibre Internet in Lavington,Lavington,,,,26/07/2024,"['Aircon', 'Alarm', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-rent-lavington-3709620,commercial-property,rent,"KSh 400,000
 / month"
Commercial Property with Fibre Internet in Kilimani,Kilimani,,,,26/07/2024,"['Aircon', 'Alarm', 'CCTV', 'Fibre Internet', 'Parking']",/listings/commercial-property-for-rent-kilimani-3709619,commercial-property,rent,"KSh 150,000
 / month"
Commercial Property with Backup Generator in Lavington,Lavington,,,,24/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-rent-lavington-8-3582489,commercial-property,rent,"KSh 800,000
 / month"
Commercial Property with Parking in Thome,"Thome, Roysambu",,,,25/07/2024,"['Balcony', 'CCTV', 'Parking']",/listings/commercial-property-for-rent-thome-3709473,commercial-property,rent,"KSh 107,100
 / month"
Commercial Property with Fibre Internet at Lavington Green,"Off James Gichuru, Lavington green, Lavington",,,,25/07/2024,"['Alarm', 'Balcony', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Pet Friendly']",/listings/commercial-property-for-rent-lavington-3709459,commercial-property,rent,"KSh 350,000
 / month"
"1,300 ft² Commercial Property with Service Charge Included in Kilimani",Kilimani,,,1300 ft²,25/07/2024,"['Balcony', 'Electric Fence', 'Fibre Internet', 'Gated Community', 'Parking', 'Service Charge Included']",/listings/1300-ft2-commercial-property-for-rent-kilimani-3709338,commercial-property,rent,"KSh 150,000
 / month"
"5,000 ft² Office with Service Charge Included in Kilimani",Kilimani,,,5000 ft²,24/07/2024,"['Alarm', 'Backup Generator', 'Electric Fence', 'Lift/Elevator', 'Parking', 'Service Charge Included']",/listings/5000-ft2-office-for-rent-kilimani-3694818,commercial-property,rent,"KSh 625,000
 / month"
