Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
1.5 ac Warehouse in Industrial Area,Industrial Area,,,1 ac,16/05/2024,[],/listings/15-ac-warehouse-for-sale-industrial-area-3674956,commercial-property,sale,"KSh 300,000,000"
"7,069 ft² Warehouse with Parking in Ruiru",Ruiru,,,7069 ft²,16/05/2024,['Parking'],/listings/7069-ft2-warehouse-for-sale-ruiru-3674848,commercial-property,sale,"KSh 31,800,000"
"4,497 ft² Warehouse in Industrial Area",Industrial Area,,,4497 ft²,16/05/2024,[],/listings/4497-ft2-warehouse-for-sale-industrial-area-3674845,commercial-property,sale,"KSh 55,000,000"
0.05 ha Commercial Property at Thogoto,"Thogoto, Kikuyu Town, Kikuyu",,,,13/02/2024,[],/listings/005-ha-commercial-property-for-sale-kikuyu-town-3674377,commercial-property,sale,"KSh 13,500,000"
"8,650 ft² Warehouse in Juja",Juja,,,8650 ft²,06/02/2024,[],/listings/8650-ft2-warehouse-for-sale-juja-3672786,commercial-property,sale,"KSh 34,600,000"
Commercial Property in Gigiri,"Gigiri, Westlands",,,,06/02/2024,[],/listings/commercial-property-for-sale-gigiri-3672780,commercial-property,sale,"KSh 150,000,000"
Warehouse in Athi River,Athi River,,,,05/02/2024,[],/listings/warehouse-for-sale-athi-river-area-3671575,commercial-property,sale,"KSh 210,000,000"
Commercial Property in Malindi,Malindi,,,,05/06/2024,[],/listings/commercial-property-for-sale-malindi-2-3387995,commercial-property,sale,"KSh 350,000,000"
"10,700 ft² Warehouse in Ruiru",Ruiru,,,10700 ft²,25/03/2024,[],/listings/10700-ft2-warehouse-for-sale-ruiru-3669948,commercial-property,sale,"KSh 3,950"
Office in Kilimani,Kilimani,,,,05/02/2024,[],/listings/office-for-sale-kilimani-3669402,commercial-property,sale,"KSh 11,950"
Warehouse in Syokimau,Syokimau,,,,05/02/2024,[],/listings/warehouse-for-sale-syokimau-3669171,commercial-property,sale,"KSh 150,000,000"
Furnished Commercial Property with Service Charge Included at Diani Beach Road,"Diani Beach Road, Diani",,,,27/05/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-commercial-property-for-sale-diani-3668971,commercial-property,sale,"KSh 4,700,000,000"
0.7299 ha Commercial Property with Backup Generator at Mtwapa,"La-marina, Mtwapa",,,,01/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Wheelchair Access']",/listings/07299-ha-commercial-property-for-sale-mtwapa-3668383,commercial-property,sale,"KSh 215,000,000"
Office in Riverside,"Riverside, Westlands",,,,18/03/2024,[],/listings/office-for-sale-riverside-3666637,commercial-property,sale,"KSh 648,645"
Office in Westlands Area,"Westlands Area, Westlands",,,,18/03/2024,[],/listings/office-for-sale-westlands-area-3666636,commercial-property,sale,"KSh 8,800,000"
Office in Westlands Area,"Westlands Area, Westlands",,,,18/03/2024,[],/listings/office-for-sale-westlands-area-3666635,commercial-property,sale,"KSh 52,500,000"
Office in Westlands Area,"Westlands Area, Westlands",,,,18/03/2024,[],/listings/office-for-sale-westlands-area-3666634,commercial-property,sale,"KSh 52,500,000"
Office in Kilimani,Kilimani,,,,18/03/2024,[],/listings/office-for-sale-kilimani-3666629,commercial-property,sale,"KSh 15,000,000"
