Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
4 Bed Apartment with En Suite in Kileleshwa,Kileleshwa,4,5,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/4-bedroom-apartment-for-sale-kileleshwa-3711015,flats-apartments,sale,"KSh 20,000,000"
2 Bed Apartment with En Suite in Kileleshwa,Kileleshwa,2,3,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet']",/listings/2-bedroom-apartment-for-sale-kileleshwa-3711011,flats-apartments,sale,"KSh 7,500,000"
1 Bed Apartment with En Suite at Muthangari Drive,"Muthangari Drive, Westlands Area, Westlands",1,1,60 m²,31/07/2024,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet']",/listings/1-bedroom-apartment-for-sale-westlands-area-3710994,flats-apartments,sale,"KSh 9,100,000"
2 Bed Apartment with En Suite in Kileleshwa,Kileleshwa,2,3,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']",/listings/2-bedroom-apartment-for-sale-kileleshwa-3711004,flats-apartments,sale,"KSh 7,500,000"
2 Bed Apartment with En Suite at Kilimani,"KILIMANI, kilimani, Kilimani",2,2,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",/listings/2-bedroom-apartment-for-sale-kilimani-3711001,flats-apartments,sale,"KSh 6,800,000"
1 Bed Apartment with En Suite in Kileleshwa,Kileleshwa,1,1,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/1-bedroom-apartment-for-sale-kileleshwa-3711002,flats-apartments,sale,"KSh 5,000,000"
3 Bed Apartment with En Suite in Kileleshwa,Kileleshwa,3,4,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/3-bedroom-apartment-for-sale-kileleshwa-3710998,flats-apartments,sale,"KSh 11,000,000"
2 Bed Apartment with En Suite in Kilimani,Kilimani,2,2,,01/03/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Golf Course', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/2-bedroom-apartment-for-sale-kilimani-3668310,flats-apartments,sale,"KSh 11,900,000"
Studio Apartment with Gym in Ruiru,Ruiru,0,1,,23/07/2024,"['Bus Stop', 'Gym', 'Lift/Elevator', 'Parking', 'Shopping Centre']",/listings/studio-apartment-for-sale-ruiru-3703036,flats-apartments,sale,"KSh 1,950,000"
2 Bed Apartment in Mtwapa,Mtwapa,2,2,84 m²,08/07/2024,[],/listings/2-bedroom-apartment-for-sale-mtwapa-1-3405485,flats-apartments,sale,"KSh 6,000,000"
3 Bed Apartment with En Suite in Kileleshwa,Kileleshwa,3,3,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/3-bedroom-apartment-for-sale-kileleshwa-3710999,flats-apartments,sale,"KSh 11,000,000"
1 Bed Apartment with En Suite at Kilimani,"KILIMANI, Kilimani",1,1,45 m²,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/1-bedroom-apartment-for-sale-kilimani-3710996,flats-apartments,sale,"KSh 4,400,000"
2 Bed Apartment with En Suite at Westlands Road,"Westlands Road, Westlands Area, Westlands",2,2,950 ft²,31/07/2024,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet']",/listings/2-bedroom-apartment-for-sale-westlands-area-3710984,flats-apartments,sale,"KSh 9,500,000"
3 Bed Apartment with En Suite in Kileleshwa,Kileleshwa,3,4,207 m²,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/3-bedroom-apartment-for-sale-kileleshwa-3710982,flats-apartments,sale,"KSh 23,600,000"
1 Bed Apartment with En Suite in Ruaka,Ruaka,1,2,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/1-bedroom-apartment-for-sale-ruaka-3710955,flats-apartments,sale,"KSh 5,500,000"
Studio Apartment with En Suite in Ruaka,Ruaka,0,1,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/studio-apartment-for-sale-ruaka-3710957,flats-apartments,sale,"KSh 3,500,000"
Serviced 1 Bed Apartment with En Suite at Lavington,"LAVINGTON, Lavington",1,1,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/furnished-1-bedroom-apartment-for-sale-lavington-3710947,flats-apartments,sale,"KSh 7,100,000"
