Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
4 Bed Apartment with En Suite in Parklands,"Parklands, Westlands",4,4,,03/07/2024,"['Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Wheelchair Access']",/listings/4-bedroom-apartment-for-rent-parklands-3679723,flats-apartments,rent,"KSh 120,000
 / month"
Serviced 1 Bed Apartment with En Suite in Westlands Area,"Westlands Area, Westlands",1,1,,10/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Golf Course', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet']",/listings/furnished-1-bedroom-apartment-for-rent-westlands-area-3679516,flats-apartments,rent,"KSh 1,400
 / month"
Serviced 2 Bed Apartment with En Suite in Nyari,"Nyari, Westlands",2,2,,10/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Golf Course', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet']",/listings/furnished-2-bedroom-apartment-for-rent-nyari-3679507,flats-apartments,rent,"KSh 2,000
 / month"
Furnished 3 Bed Apartment with En Suite in Kizingo,"Kizingo, Mombasa Island",3,3,,22/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Golf Course', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Sea View', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet']",/listings/furnished-3-bedroom-apartment-for-rent-kizingo-3678933,flats-apartments,rent,"KSh 200,000
 / month"
Serviced Studio Apartment with En Suite in Lavington,Lavington,0,1,,29/07/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']",/listings/furnished-studio-apartment-for-rent-lavington-3678900,flats-apartments,rent,"KSh 70,000
 / month"
Serviced 3 Bed Apartment with En Suite in Nyali Area,"Nyali Area, Nyali",3,2,,22/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Golf Course', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Sea View', 'Serviced', 'Shopping Centre', 'Swimming Pool']",/listings/furnished-3-bedroom-apartment-for-rent-nyali-area-3678887,flats-apartments,rent,"KSh 10,000
 / month"
1 Bed Apartment with Swimming Pool in Lavington,Lavington,1,1,,29/07/2024,"['Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'Garden', 'Golf Course', 'Gym', 'Hospital', 'Parking', 'School', 'Shopping Centre', 'Swimming Pool']",/listings/1-bedroom-apartment-for-rent-lavington-3678594,flats-apartments,rent,"KSh 90,000
 / month"
Serviced 2 Bed Apartment with En Suite in Kilimani,Kilimani,2,2,,10/07/2024,"['Aircon', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Golf Course', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Serviced', 'Shopping Centre', 'Walk In Closet']",/listings/2-bedroom-apartment-for-rent-kilimani-3678179,flats-apartments,rent,"KSh 90,000
 / month"
Serviced 1 Bed Apartment with En Suite in Runda,"Runda, Westlands",1,2,,10/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Golf Course', 'Hospital', 'Parking', 'Scenic View', 'School', 'Sea View', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Walk In Closet', 'Wheelchair Access']",/listings/furnished-1-bedroom-apartment-for-rent-runda-3678177,flats-apartments,rent,"KSh 650
 / month"
Serviced 2 Bed Apartment with En Suite in Runda,"Runda, Westlands",2,2,,10/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Golf Course', 'Hospital', 'Parking', 'Scenic View', 'School', 'Sea View', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/2-bedroom-apartment-for-rent-runda-3678176,flats-apartments,rent,"KSh 100,000
 / month"
2 Bed Apartment with En Suite at Maua Close,"Maua Close, Westlands Area, Westlands",2,2,,29/02/2024,"['Backup Generator', 'Balcony', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking']",/listings/2-bedroom-apartment-for-rent-westlands-area-3678161,flats-apartments,rent,"KSh 250,000
 / month"
4 Bed Apartment with En Suite in Kileleshwa,Kileleshwa,4,4,,29/07/2024,"['Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Golf Course', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet']",/listings/4-bedroom-apartment-for-rent-kileleshwa-3677397,flats-apartments,rent,"KSh 250,000
 / month"
Furnished 2 Bed Apartment with En Suite at Likipia Road,"Likipia Road, Kileleshwa",2,2,,23/02/2024,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']",/listings/furnished-2-bedroom-apartment-for-rent-kileleshwa-3676789,flats-apartments,rent,"KSh 220,000
 / month"
1 Bed Apartment with En Suite in Lavington,Lavington,1,1,,29/07/2024,"['Backup Generator', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Hospital', 'Parking', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet']",/listings/1-bedroom-apartment-for-rent-lavington-3676554,flats-apartments,rent,"KSh 70,000
 / month"
3 Bed Apartment with En Suite at City Park Drive,"Limuru Rd, City park Drive, Parklands, Westlands",3,3,,03/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/3-bedroom-apartment-for-rent-parklands-3674828,flats-apartments,rent,"KSh 200,000
 / month"
Furnished 2 Bed Apartment with En Suite in Spring Valley,"Spring Valley, Westlands",2,2,,03/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Swimming Pool', 'Wheelchair Access']",/listings/furnished-2-bedroom-apartment-for-rent-spring-valley-3674819,flats-apartments,rent,"KSh 120,000
 / month"
Furnished 3 Bed Apartment with En Suite in Brookside,"Brookside, Westlands",3,3,,29/07/2024,"['Backup Generator', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Furnished', 'Golf Course', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre']",/listings/furnished-3-bedroom-apartment-for-rent-brookside-3674346,flats-apartments,rent,"KSh 250,000
 / month"
3 Bed Apartment with En Suite in Parklands,"Parklands, Westlands",3,3,,03/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Wheelchair Access']",/listings/3-bedroom-apartment-for-rent-parklands-3672536,flats-apartments,rent,"KSh 115,000
 / month"
3 Bed Apartment with En Suite at East Church Rd,"East Church Rd, Rhapta Road, Westlands",3,3,,17/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Swimming Pool', 'Wheelchair Access']",/listings/3-bedroom-apartment-for-rent-rhapta-road-3672534,flats-apartments,rent,"KSh 130,000
 / month"
