Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
4 Bed House with En Suite in General Mathenge,"General Mathenge, Westlands",4,3,,25/07/2024,"['Alarm', 'BBQ', 'Bus Stop', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Parking', 'School', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet']",/listings/4-bedroom-house-for-rent-general-mathenge-3709571,houses,rent,"KSh 350,000
 / month"
6 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",6,7,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Parking', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/6-bedroom-townhouse-for-rent-kitisuru-3710985,houses,rent,"KSh 500,000
 / month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,,31/07/2024,"['BBQ', 'Balcony', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Golf Course', 'Hospital', 'Parking', 'Scenic View', 'School', 'Shopping Centre']",/listings/5-bedroom-house-for-rent-runda-3710970,houses,rent,"KSh 400,000
 / month"
5 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",5,3,,31/07/2024,"['Backup Generator', 'Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/5-bedroom-townhouse-for-rent-rosslyn-3710189,houses,rent,"KSh 458,000
 / month"
4 Bed Villa with En Suite at Lower Kabete Rd.,"Lower Kabete Rd., Lower Kabete, Westlands",4,5,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/4-bedroom-villa-for-rent-lower-kabete-3710975,houses,rent,"KSh 516,000
 / month"
4 Bed Villa with En Suite at Grevillea Grove Road,"TAJ VILLAS NO C2 (Available from July 1st 2024), Grevillea Grove Road, Westlands Area, Westlands",4,4,,15/07/2024,"['Borehole', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Hospital', 'Parking', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool']",/listings/furnished-4-bedroom-villa-for-rent-westlands-area-1-3667691,houses,rent,"KSh 300,000
 / month"
4 Bed House with En Suite in Gigiri,"Gigiri, Westlands",4,5,,21/06/2024,"['Balcony', 'Bus Stop', 'En Suite', 'Garden', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/4-bedroom-house-for-rent-gigiri-3701794,houses,rent,"KSh 550,000
 / month"
2 Bed House with Garden at Hardy,"Hardy, Karen",2,1,150 m²,23/07/2024,"['BBQ', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre']",/listings/2-bedroom-house-for-rent-karen-3708616,houses,rent,"KSh 140,000
 / month"
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/5-bedroom-house-for-rent-lower-kabete-3710968,houses,rent,"KSh 700,000
 / month"
4 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",4,4,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/4-bedroom-house-for-rent-lower-kabete-3710967,houses,rent,"KSh 500,000
 / month"
5 Bed House with En Suite in Karen,Karen,5,5,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",/listings/5-bedroom-house-for-rent-karen-3710966,houses,rent,"KSh 270,000
 / month"
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands",5,5,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",/listings/5-bedroom-house-for-rent-gigiri-3710964,houses,rent,"KSh 250,000
 / month"
