Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Commercial Land at Jacaranda,"Jacaranda, Lavington",,,,12/07/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/commercial-land-for-sale-lavington-12-3479421,land,sale,"KSh 148,000,000"
Land at Kilimani,Kilimani,,,,12/07/2024,"['Bus Stop', 'Hospital', 'School']",/listings/land-for-sale-kilimani-13-3485665,land,sale,"KSh 555,000,000"
5 ac Land at Utange,"Utange, Bamburi",,,5 ac,06/05/2024,"['Hospital', 'Scenic View', 'School', 'Sea View']",/listings/5-ac-land-for-sale-bamburi-3681985,land,sale,"KSh 125,000,000"
Land at Off James Gichuru,"Maziwa, Off James Gichuru, Lavington",,,,12/07/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-lavington-3678708,land,sale,"KSh 250,000,000"
Land at Lavington Green,"Maziwa, Lavington Green, Lavington",,,,12/07/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-lavington-3680983,land,sale,"KSh 148,000,000"
0.045 ha Residential Land at Acacia,"Kitengela, Acacia",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/0045-ha-residential-land-for-sale-kitengela-3571441,land,sale,"KSh 2,500,000"
0.045 ha Residential Land at Ostrich View Park Kitengela,"Kitengela, Ostrich View Park Kitengela",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/0045-ha-residential-land-for-sale-kitengela-3571416,land,sale,"KSh 1,500,000"
0.5 ac Land at Loresho Ridge,"Loresho Ridge, Loresho, Westlands",,,,09/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-land-for-sale-loresho-3691166,land,sale,"KSh 40,000,000"
0.25 ac Land at Kikuyu Road,"Kikuyu Road, Kawangware",,,,09/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/025-ac-land-for-sale-kawangware-3691164,land,sale,"KSh 32,000,000"
Residential Land at Kaputei,"Kaputei, Isinya",,,,05/05/2024,"['Bus Stop', 'Scenic View', 'School', 'Shopping Centre']",/listings/residential-land-for-sale-isinya-3691156,land,sale,"KSh 650,000"
Residential Land in Eastern ByPass,"Eastern ByPass, Ruiru",,,,05/05/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/residential-land-for-sale-eastern-bypass-3691143,land,sale,"KSh 9,000,000"
Residential Land in Rosslyn,"Rosslyn, Westlands",,,,05/05/2024,[],/listings/residential-land-for-sale-rosslyn-3691118,land,sale,"KSh 50,000,000"
1 ac Land at Off Isinya -Kiserian,"Off Isinya -Kiserian, Isinya",,,1 ac,09/07/2024,"['Bus Stop', 'Scenic View', 'School', 'Shopping Centre']",/listings/1-ac-land-for-sale-isinya-3691068,land,sale,"KSh 2,500,000"
0.5 ac Land in Kitisuru,"Kitisuru, Westlands",,,,06/06/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-land-for-sale-kitisuru-3691050,land,sale,"KSh 55,000,000"
